q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10,peak_value,MSE,SSIM,NCC,PSR,jaccard_index_0,jaccard_index_-1,jaccard_index_-2,mated
68892,83180,2.817979454350072,5.950927227480522,0.5425867177774167,0.9613957311684772,1.7400739861268255,2.927189416559154,4.52864184137886,110.21317798697524,0.0084418503025428,26,-0.1608884667530741,58.219259068821366,0.0025849400386052,25,-0.1961608572991013,0.3590692678395169,0.2988939648954075,0.5925216280555071,0.5032099062274585,0.7718893340300761,0.6611685501322433,0.922922835742902,0.8067083433517672,0.9736544156070372,0.8740201971627796,492434325.0,1605.2228046768653,0.7710731018098359,0.0875960921213206,7.330295066286979,0.0513990583061956,0.6270430906389302,0.8732876712328768,True
83180,68652,6.6857286611655855,13.97969138877455,0.6386380302156607,1.1303083469259696,2.164509368281913,4.220926761082554,17.888798896774176,103.92347529620083,0.0110843155800955,21,0.1144041107816834,181.28948375972232,0.0030628073912878,25,0.103903466015125,0.2909954315941332,0.3460642078890636,0.4882904544361625,0.5786284449105634,0.6483649915845155,0.760779001340092,0.7920894445780235,0.9189389966789024,0.8627073815821111,0.9727611722892268,454199625.0,1515.1167325238446,0.7841147923319304,0.0807108910893266,7.238301547466524,0.0471165187162455,0.6190181006694768,0.867109634551495,True
87702,70658,9.66990420523596,23.30901396986535,0.6155150735880331,1.0780062479397037,2.039474978928565,4.154640400135539,25.66350720012942,100.63976746733913,0.0074044693146262,17,0.1408674813249547,276.75316288164595,0.0025536868371696,16,0.1758346928726371,0.306800301019361,0.3776500891618784,0.5109461585824725,0.6250247671884288,0.6625048459556224,0.8003764612641173,0.786606918884404,0.9367092190551672,0.8442452851702356,0.9868521611140988,509210775.0,1656.1033650928512,0.758754567705738,0.0866602861246279,7.080845577245135,0.0510487189698659,0.6249491131142774,0.8701298701298701,True
80361,66410,8.663024070366111,17.92259318266285,0.7581595130061796,1.3951893903060393,2.7938090817368284,5.704187093087287,23.259593679985397,77.6561363404692,0.0120266144350113,14,0.0426732663009034,364.8902670715472,0.0032840374045635,21,0.1046444515841125,0.2222222222222222,0.2662550820659539,0.3862943467602444,0.4650052702906189,0.5418922113960752,0.6470260502936305,0.7226764226428243,0.8570998343622949,0.8357287739077414,0.9693419665712996,345998025.0,1355.3288882546165,0.7917820376724762,0.0623575246851754,6.512247724848808,0.0347813211684493,0.5521867921240634,0.8630573248407644,True
70658,86263,2.254432613852444,2.896327879495576,0.5436702884173978,0.9288159707790916,1.5992901332421152,2.6908083769161486,4.283178369316721,121.65720055375336,0.0078504833336274,18,-0.175831987243243,70.07153572370042,0.0026403006352312,50,-0.232816957719385,0.3858303376829233,0.3150365741975122,0.6327379772991027,0.5243267681392949,0.8039995471142687,0.6720378377751759,0.9291375357355148,0.7929819273616731,0.9818421127119364,0.8539234666079315,503748674.99999976,1672.8206789853966,0.7575429532469343,0.0862615577581696,6.987451630168658,0.0519340349936314,0.6269738392646712,0.8469055374592834,True
86263,67950,10.377322766650645,24.99869167701859,0.6194628006336553,1.0809092310657764,2.103284291596234,4.473289066345471,26.698713031266788,92.8412454530432,0.0104620255914114,8,0.1294580103337307,247.3067616857822,0.0030175105430506,15,0.109694472667218,0.3020993937145705,0.3803679175864606,0.4958556971123193,0.6151876379690949,0.6417699361255694,0.7874613686534216,0.77642790072221,0.9341574687270052,0.8411833578706978,0.9880058866813832,524036474.9999998,1697.5850519732126,0.7489383158688482,0.0921320270911549,7.272670470578716,0.0502826397875093,0.6311252804345259,0.8359621451104101,True
66410,83913,3.2036443257941887,5.084006252788653,0.6211132529197694,1.0986279697184924,2.07772283134157,3.761298160068685,6.035874272666268,92.69271744277796,0.0132254419386465,21,-0.1056997869008244,56.81168224423709,0.0038460864387268,34,-0.2231889051563577,0.3029513627465743,0.2385446831837736,0.5071977111880741,0.4041209347776864,0.6720975756663153,0.54147748263082,0.857792501129348,0.7030615041769451,0.9680770968227675,0.8248304791867768,390865275.0,1421.8124430545538,0.7824969594214272,0.0695792925592633,6.824800146906249,0.039503815473596,0.5528329019269486,0.8961038961038961,True
83913,64944,8.532075953031553,16.678850551564285,0.7674658426137739,1.4134026915114877,2.84882022964618,6.219850123270951,23.110410947017343,80.8781648826973,0.0086689989685946,18,0.0658476794022156,60.890033198872935,0.0034933411061054,30,0.1129819072147847,0.2197633263022416,0.2804416112342942,0.3835520122031151,0.4853412170485341,0.5305614147986605,0.6626324217787632,0.7034786028386543,0.8653917220990391,0.8240439502818395,0.9699125400344912,339170400.00000006,1522.930401889141,0.7676116277525076,0.0589134362555104,5.65738961557488,0.035572407555571,0.5522016222479722,0.8844884488448845,True
44059,50598,2.376925054902876,5.32931385475111,0.5453386505673555,0.981533709538034,1.7420478614462256,2.8565806099440376,4.175421825692459,73.80742482738675,0.0087708034061575,26,-0.1033546172648868,25.461685430704243,0.0025948742576253,8,-0.2386836979191535,0.3654871876347624,0.3239851377524803,0.6028961165709616,0.5453970512668485,0.7901677296352618,0.7286849282580339,0.9459815247735992,0.8802917111348275,0.9928958896025784,0.9344045219178624,320443199.99999994,999.3775697938652,0.8748362104282835,0.0966813568694436,12.20054267735548,0.0535803761315681,0.6887808266759291,0.9017543859649124,True
50598,50332,2.221914433977132,2.9967010000133114,0.5070692281881942,0.9156821983295874,1.585179149723064,2.6634898707640016,4.148012971936796,32.42090077015352,0.0059006040108854,11,-0.0039521403381885,26.50681919620223,0.0024728883233756,13,-0.0531082344740359,0.4026048460413455,0.3982754510053246,0.643958259219732,0.6356393546848923,0.8115538163563777,0.7983986330763729,0.9387920471164868,0.9224747675435112,0.9868571880311476,0.9716879917348804,412648649.9999999,918.6831505526652,0.8877331774341958,0.1186356157465199,15.563645490968606,0.0648568233134271,0.7120639857809375,0.9528619528619529,True
